customer_id,age,gender,country,registration_date,loyalty_level,product_id,category,brand,price,rating,order_id,quantity,order_date,payment_method,delivery_type,shipping_cost,discount_percent,total_price,order_status
2bea6f4a-8de1-41b4-9ac4-cafe4478b028,30,Female,Estonia,2023-09-15,Silver,e3a2805c-7f91-4e2e-8e0d-1e5b77a1921f,Clothing,Rivera-Weaver,105.43,3.2,218fef24-70f1-4fbd-9b0f-c74cf041f8ff,1,2024-07-09,Debit Card,Express,15,0.0,120.43,Delivered
250d98c4-3a13-49dd-a1c2-5dddd568a910,55,Female,Saint Kitts and Nevis,2024-01-19,Bronze,5b742e6f-0bab-4b1e-a01c-5912b1b3cfb4,Electronics,Kennedy-Rogers,2004.79,4.6,bf6b5b88-5d97-450d-8101-22bf66341f8f,5,2025-04-13,Credit Card,Express,15,0.0,10038.95,Delivered
f5c5225b-ae8a-4883-b69b-7f1e5945d7d5,64,Female,Monaco,2025-07-18,Platinum,d47fd087-0883-44f0-b9b1-3bd71a93f936,Sports,Richards PLC,230.24,3.7,b9a484c7-679f-4627-8b19-d2e7764f9c3b,4,2024-08-26,PayPal,Express,15,6.72,874.09,Delivered
37659517-88c3-48a8-b974-a61d2ba31864,18,Male,Kazakhstan,2023-01-22,Bronze,5985d6e9-26e7-4864-966a-792b12fbd257,Clothing,"Garcia, Foster and Taylor",161.96,5.0,2d11e3e5-ee4c-403c-845e-37c68dba5119,3,2025-05-02,Debit Card,Express,15,0.0,500.88,Delivered
4d40831f-c94b-4d97-9db5-c97c633ac3ad,25,Male,Georgia,2024-10-12,Platinum,6a55c608-c102-43e5-945e-3ccebb11a171,Home,"West, Buchanan and Wilson",110.08,3.0,ef269ccf-b174-4103-943a-a14c70dc59b2,5,2025-08-01,Credit Card,Express,15,10.32,508.58,Delivered
4853db90-bca1-4438-bb3e-61e0a3e9da8b,30,Female,Saint Helena,2025-06-16,Gold,161b6320-1f07-46b6-a4f5-ae5f9306d45f,Home,Weeks Ltd,325.52,3.5,5ff2be60-19c1-43c9-9ca2-192a55aed1c2,4,2024-02-27,Credit Card,Express,15,8.78,1202.81,Shipped
e29a640f-e422-479a-8ced-3f4ba2f2e01a,35,Female,Taiwan,2025-10-19,Bronze,6ff02329-3d33-476b-a8a4-00c06a6a4d24,Sports,"King, Murphy and Myers",567.15,3.6,55ae556a-7e9b-4b67-80a2-ee361ff62189,2,2025-11-29,Debit Card,Next-Day,25,0.0,1159.3,Delivered
98c17b78-187a-4af0-b009-9acfb1656685,54,Female,Wallis and Futuna,2025-10-13,Bronze,50907059-d1f6-4ef4-b9c8-c3afddc6c919,Home,Vargas-Sosa,546.48,3.5,5b4922eb-9fd7-4bdc-8446-0b6b6f0a3402,1,2024-07-16,Credit Card,Next-Day,25,0.0,571.48,Delivered
ab8570f4-fdca-4e42-9514-9b61958b0727,57,Female,South Georgia and the South Sandwich Islands,2022-08-11,Gold,66111ca8-af8f-42ab-89ae-4de467e222b9,Beauty,Foster-Torres,80.01,4.3,70239c39-5414-473c-a32d-b2aacfaf7678,2,2024-12-26,Credit Card,Express,15,12.84,154.47,Delivered
dd3ba54f-e8d4-42cc-a33d-07cc96d4b421,56,Female,Netherlands,2025-08-23,Bronze,31f58356-ebbb-4c7d-b1c3-e4dac64b6ede,Clothing,"Lopez, Velazquez and Pollard",94.57,4.7,6e7e8a1e-7070-4c74-96d9-5b440b8f6974,3,2025-03-28,Credit Card,Standard,5,0.0,288.71,Delivered
5beba80a-437e-4da9-a3de-bebc560a2b7d,21,Male,Heard Island and McDonald Islands,2025-04-10,Silver,a7e42e9d-dc0f-4ef9-bdf8-8b6b1e33c324,Electronics,Torres LLC,1488.74,4.8,13897ca7-65a3-40b9-93ba-6e390c53e771,3,2024-11-18,Bank Transfer,Next-Day,25,0.0,4491.22,Shipped
7ce3dc0d-1658-429b-89b9-215583d737f5,27,Male,Lebanon,2024-06-02,Silver,f51920b0-840f-4b9d-9903-304ae5b2466f,Home,"Torres, Dudley and Daniels",526.31,3.9,1a856831-f6c9-4576-9b93-e37d16978daf,4,2025-05-15,Debit Card,Next-Day,25,0.0,2130.24,Shipped
89aaf65b-7186-4bb9-9e1f-2f1b2b2c1157,26,Female,Congo,2021-07-04,Bronze,108c8447-04db-42b0-a0b5-dfa767569bbe,Clothing,"Vance, Gray and Steele",74.89,3.6,726db9a4-50b2-41fa-aa13-827687fbfca6,1,2025-09-07,Credit Card,Express,15,0.0,89.89,Delivered
7950d997-c2b3-4f40-83ca-578e363ba2df,40,Female,Kenya,2021-10-03,Silver,1b150eed-88e4-4a9f-9761-c350b27f33a7,Clothing,Pham-Harris,67.69,3.3,415aee36-7a2f-4c25-a1b2-27993f592539,5,2025-01-20,Credit Card,Standard,5,0.0,343.45,Delivered
2ec26f83-07bd-4787-8022-e2b227ed9585,19,Male,Wallis and Futuna,2022-06-28,Silver,04f816bc-181c-4ba8-a4e5-3a4c66fc072e,Clothing,Johnson-Cruz,160.46,4.1,78e162a7-d848-4d43-92b3-34c2a62c857f,2,2024-12-01,Credit Card,Next-Day,25,0.0,345.92,Delivered
5d3c74a5-bc79-41b3-9f70-47cbba98e16b,34,Female,Cocos (Keeling) Islands,2022-08-15,Gold,86c69e9e-d4c9-4b36-ac21-c99ca6ac7945,Home,Foster Group,437.69,4.5,a6972e9c-2baa-40cc-a7cb-4e66accd4932,2,2024-07-05,Credit Card,Standard,5,7.85,811.65,Delivered
f72f0fdf-1066-4252-99f3-949e8ba7d82b,55,Female,Uruguay,2025-03-25,Silver,c6a5a6e6-bffd-48f9-8ca3-52efcae51843,Clothing,Hall LLC,35.67,3.6,8c852fe8-17c4-4715-a54b-d1d28ec3e9f9,5,2024-09-26,Debit Card,Standard,5,0.0,183.35,Delivered
46478715-bbbf-4313-aacc-841d20934e31,53,Female,Estonia,2022-03-17,Gold,facea32d-5fe4-49c7-a29c-5ead20d12ff5,Electronics,Riley-Duke,2625.55,3.6,1f13a68b-9164-4cf9-bb54-bcbfce6411ac,2,2025-01-01,Credit Card,Standard,5,5.81,4950.89,Delivered
203f5c46-b6cc-4bb4-832a-1ece05ae2b1e,25,Female,Syrian Arab Republic,2021-10-10,Bronze,9ac86899-a9b3-47bd-b67a-9aee42d233f1,Beauty,"Gibson, Cole and Olson",82.09,4.3,84e5dd55-8b9d-4f50-b122-a9d338ebeb40,3,2025-08-29,Credit Card,Express,15,0.0,261.27,Delivered
c2634af6-c408-4bfb-80f0-d7d3be4abb37,34,Male,Sierra Leone,2022-09-08,Platinum,d09521d9-d623-4042-83fd-672ea49654f5,Home,Bird-Adkins,151.45,4.3,7a7c9144-36e9-4d0b-a4bb-f853b198ab85,5,2026-02-05,Credit Card,Standard,5,14.59,651.76,Delivered
17d6eb75-6d1c-4423-bcf7-cac4710cc75a,51,Female,Iran,2022-05-17,Bronze,14366c75-1762-4089-aa32-2192b5cedd9f,Clothing,Wilcox-Garcia,78.24,3.5,bef6b80c-1029-403c-986e-5b0c971626eb,4,2025-08-18,Credit Card,Next-Day,25,0.0,337.96,Delivered
23cb6f36-f667-4c6d-b8b3-a0effa5e18e9,47,Male,Monaco,2024-01-04,Bronze,18b26ba5-ac3f-4fd3-aa45-33903c0ca611,Clothing,"Parsons, Pope and Hodges",164.17,4.8,49dc983c-fc9b-42a3-9c94-788875de93c4,4,2024-12-13,Debit Card,Standard,5,0.0,661.68,Delivered
1d720336-b747-4aef-884d-8519919bbcc3,59,Male,Afghanistan,2025-08-07,Bronze,f95916a2-a8f8-4b8b-bfbf-9c5a2deebb69,Electronics,Cruz PLC,1594.48,3.7,2c568ba9-14d2-4822-ab77-3ec80947b671,2,2024-04-16,Debit Card,Standard,5,0.0,3193.96,Delivered
3c014951-6fca-45a3-ad72-2b6149925f94,24,Female,Haiti,2025-07-22,Gold,3cf11d6c-b9bd-42bd-9f7c-f08726f78a9b,Clothing,Nash-Silva,28.93,3.7,857c2da3-3d2a-4b0f-b83e-477c70cb2f17,5,2026-01-16,PayPal,Standard,5,12.46,131.63,Delivered
12ce6b4e-c7bf-4a00-b046-67787d82c126,69,Male,Guatemala,2024-02-06,Silver,069a2552-c184-4e41-a558-b868c13da27f,Electronics,"Fields, Buck and Hall",263.84,3.8,080b2ed7-8756-4b38-86a5-dcf515b10549,2,2025-06-25,Debit Card,Standard,5,0.0,532.68,Delivered
ce79ac5d-0be4-4f2e-8048-5d8f2dd12f5e,26,Male,Netherlands Antilles,2023-04-06,Silver,aa686be0-e60c-4a43-b03e-56afa2637bb6,Electronics,Zimmerman LLC,1672.24,4.9,23edc834-5e87-4f29-86b0-456a6cb1dc49,1,2025-06-26,Credit Card,Next-Day,25,0.0,1697.24,Delivered
3faccca7-ef7e-4384-94d0-2a72efc9eee2,25,Female,United States of America,2024-01-26,Silver,02afe443-26d1-4950-a586-e9e6c633ff53,Clothing,Sanchez-Price,165.21,3.3,d65e1890-7837-4403-a503-8a10911a3ce0,1,2025-11-27,Debit Card,Express,15,0.0,180.21,Shipped
00ce3e89-2c86-4006-b50e-4333e6078626,49,Male,Jamaica,2022-11-05,Silver,ce9bc435-a230-450b-849a-57edabbd87ec,Home,Bowman-Rangel,907.28,3.7,151c02a1-5f3b-425e-86cd-1287a9ab8fc6,1,2025-08-16,Credit Card,Express,15,0.0,922.28,Delivered
a083e578-57b1-45b5-9021-7843f08a2781,42,Male,Switzerland,2021-02-27,Bronze,fa85fe61-97f6-47b3-a53f-042566090e31,Electronics,Robinson-Rodriguez,1814.13,4.8,ebab477e-241f-4a1d-905a-8e42178a9caa,3,2025-05-02,PayPal,Standard,5,0.0,5447.39,Shipped
d6bfbd4c-ed8b-49fd-b79b-64ad3ac97dd8,70,Male,Algeria,2022-03-13,Gold,ef4899ac-34b3-4fe7-93de-de2e0b2f9570,Beauty,"Collins, Smith and Long",34.72,4.7,72be689a-82c0-4583-a229-72dae8535abd,2,2024-12-17,Debit Card,Next-Day,25,7.63,89.14,Shipped
92e64bb8-4054-4298-bb33-dd7bc1dcd1bf,68,Female,Chile,2025-06-10,Silver,bdb2106e-b490-4441-9f09-cc713792648b,Clothing,"Pace, Patton and Johnson",57.43,3.2,95660479-8747-4828-86ce-8fd8a5da7b05,2,2024-07-21,Debit Card,Next-Day,25,0.0,139.86,Delivered
7bc2e428-c6f7-49f1-a370-fe08b27bfe91,53,Male,Angola,2023-08-14,Silver,b10f0874-8369-451e-b2d3-844c401f3f93,Beauty,Hodges PLC,138.18,3.8,eec888f0-6796-46f6-a643-1792fcdd5664,2,2025-01-23,Credit Card,Express,15,0.0,291.36,Delivered
c0d74438-74ca-4deb-bbf4-3e63616e5cdb,52,Male,Wallis and Futuna,2022-02-12,Bronze,42b354c9-1cbd-42ab-bb07-55993952ecd7,Clothing,Thomas and Sons,127.87,3.3,359573bf-b00f-434c-bb23-3ccb100fea2b,5,2024-11-29,Bank Transfer,Next-Day,25,0.0,664.35,Delivered
8f1105df-8ce8-4261-bc94-8ca06f6950b2,65,Female,Bhutan,2023-03-15,Bronze,52f9220c-d05b-4abb-8933-993b73c6830e,Sports,Hart Group,542.84,3.5,90570223-f75d-490a-9a3e-be4190328641,4,2025-02-04,Credit Card,Express,15,0.0,2186.36,Delivered
9a7c86c2-8584-49a8-bf93-305a0247b5b0,61,Female,Fiji,2025-07-19,Silver,dbc01f37-18fa-4f1d-9b15-b99e8d48e6f6,Electronics,"Bell, Zimmerman and Arnold",256.46,4.1,0cce6b3e-6ec3-40c0-932d-a2243ef831bc,3,2025-07-26,PayPal,Standard,5,0.0,774.38,Delivered
1d79f37f-50a1-40a9-9476-4dd65f845f4d,62,Female,Russian Federation,2024-03-03,Gold,726b2d4d-f6c8-48fc-981c-1e5ad0301128,Clothing,"Taylor, Garcia and Owens",23.51,3.6,e55c6cd2-a6cd-45d7-b4aa-093eb7103265,1,2024-05-13,Credit Card,Standard,5,6.9,26.89,Shipped
b92ff37b-623b-4a85-b813-7130e32868e8,69,Male,Benin,2025-12-09,Silver,3eac8a7e-0059-40e4-ae05-d786b8fab4ab,Clothing,Barker LLC,108.04,4.9,39f36c70-cc30-4da0-bde1-9936b5443034,3,2024-09-16,Credit Card,Express,15,0.0,339.12,Delivered
79488625-8832-441d-a738-6a382b6bcf0a,28,Male,Comoros,2024-09-09,Bronze,f7095a5f-5193-4c00-b5c9-97d90490551a,Sports,Lynch-Anderson,177.21,3.9,0a196119-9966-4dc2-9827-020f948b204f,3,2024-09-06,Debit Card,Standard,5,0.0,536.63,Delivered
